Country and Area,Year,Forest Area,Total Land Area,Improvement
Barbados,2020,6.3,43,0
Belarus,2020,8767.6,20297.8,1.553251868
Belgium,2020,689.3,3028,0
Belize,2020,1277.05,2281,-4.185079868
Benin,2020,3135.15,11276,-7.385197111
Bermuda,2020,1,5,0
Bhutan,2020,2725.08,3812,0.36461671
Bolivia (Plurinational State of),2020,50833.76,108330,-2.293914609
"Bonaire, Sint Eustatius and Saba",2020,1.91,32.2,0
Bosnia and Herzegovina,2020,2187.91,5120,1.268687804
Botswana,2020,15254.7,56673,-3.732756118
Brazil,2020,496619.6,835814,-1.441837499
British Virgin Islands,2020,3.62,15,0
Brunei Darussalam,2020,380,527,0
Bulgaria,2020,3893,10856,1.565353509
Burkina Faso,2020,6216.4,27360,-3.86613881
Burundi,2020,279.64,2568,0
Cabo Verde,2020,45.72,403,3.392130258
Cambodia,2020,8068.37,17652,-8.799206947
Cameroon,2020,20340.48,47271,-1.357873338
Canada,2020,346928.1,909351,-0.05404826
Cayman Islands,2020,12.72,24,0
Central African Republic,2020,22303,62298,-0.668062174
Chad,2020,4313,125920,-11.799591
Chile,2020,18210.7,74353,3.492937063
China,2020,219978.18,942470,4.604942836
Colombia,2020,59141.91,110950,-1.650878212
Comoros,2020,32.92,186,-6.237539163
Congo,2020,21946,34150,-0.313422666
Cook Islands,2020,15.59,24,0
Costa Rica,2020,3034.87,5106,2.771390741
Côte d’Ivoire,2020,2836.71,31800,-16.59556327
Croatia,2020,1939.11,5596,0.890218522
Cuba,2020,3242,10402,1.82160804
Curaçao,2020,0.07,44.4,0
Cyprus,2020,172.53,924,-0.104220948
Czechia,2020,2677.09,7721,0.326039297
Democratic People's Republic of Korea,2020,6030.09,12041,-1.729886706
Democratic Republic of the Congo,2020,126155.24,226705,-4.182584938
Denmark,2020,628.44,4199,0.601908177
Djibouti,2020,5.8,2318,3.571428571
Dominica,2020,47.87,75,0
Dominican Republic,2020,2144.1,4831,1.922848383
Ecuador,2020,12497.83,24836,-2.506790606
Egypt,2020,44.98,99545,-7.104502272
El Salvador,2020,583.88,2072,-3.710544543
Equatorial Guinea,2020,2448.42,2805,-1.678566552
Eritrea,2020,1055.26,10100,-1.475174127
Estonia,2020,2438.4,4347,0.718295257
Eswatini,2020,497.56,1720,1.232960326
Ethiopia,2020,17068.5,111971.55,-2.093670233
Faeroe Islands,2020,0.08,140,0
Falkland Islands (Malvinas),2020,0,1217,0
Fiji,2020,1140.02,1827,3.018199563
Finland,2020,22409,30391,0
France,2020,17253,54756,2.476835353
French Guiana,2020,8002.85,8220,-0.213840399
French Polynesia,2020,149.46,366,0
Gabon,2020,23530.6,25767,-0.251801611
Gambia,2020,242.67,1012,-10.56607946
Georgia,2020,2822.4,6949,0
Germany,2020,11419,34886,0
Ghana,2020,7985.71,22754,1.335839116
Gibraltar,2020,0,1,0
Greece,2020,3901.8,12890,0
Greenland,2020,0.22,41045,0
Grenada,2020,17.7,34,0
Guadeloupe,2020,71.92,169,-0.415397397
Guam,2020,28,54,12
Guatemala,2020,3527.8,10716,-1.617491215
Guernsey,2020,0.42,8,0
Guinea,2020,6189,24572,-3.130380341
Guinea-Bissau,2020,1980.01,2812,-2.086825799
Guyana,2020,18415.34,19685,-0.24927741
Haiti,2020,347.3,2756,-4.285517431
Holy See,2020,0,0,0
Honduras,2020,6359.26,11189,-1.617771507
Hungary,2020,2053.01,9053,-0.378975359
Iceland,2020,51.35,10025,6.623754153
India,2020,72160,297319,1.880612187
Indonesia,2020,92133.2,187752,-3.046158023
Iran (Islamic Republic of),2020,10751.87,162876,0.560139469
Iraq,2020,825,43412.8,0
Ireland,2020,782.02,6889,3.6241006
Isle of Man,2020,3.46,57,0
Israel,2020,140,2164,-15.15151515
Italy,2020,9566.13,29414,2.893919381
Jamaica,2020,596.89,1083,3.36473522
Japan,2020,24935,36456,-0.036080821
Jersey,2020,0.6,12,0
Jordan,2020,97.5,8878,0
Kazakhstan,2020,3454.68,269970,4.419578898
Kenya,2020,3611.09,56914,2.517594488
Kiribati,2020,1.18,81,0
Kuwait,2020,6.25,1782,0
Kyrgyzstan,2020,1315.38,19180,5.078246699
Lao People's Democratic Republic,2020,16595.5,23080,-1.028745229
Latvia,2020,3410.79,6218,0.570554101
Lebanon,2020,143.33,1023,2.137818
Lesotho,2020,34.52,3036,0
Liberia,2020,7617.44,9632,-1.947548766
Libya,2020,217,175954,0
Liechtenstein,2020,6.7,16,0
Lithuania,2020,2201,6265,0.640146319
Luxembourg,2020,88.7,243,0
Madagascar,2020,12429.81,58180,-0.528813874
Malawi,2020,2241.7,9428,-8.565485174
Malaysia,2020,19114.04,32855,-1.799095982
Maldives,2020,0.82,30,0
Mali,2020,13296,122019,0
Malta,2020,0.46,32,31.42857143
Marshall Islands,2020,9.4,18,0
Martinique,2020,52.29,106,1.949697797
Mauritania,2020,312.8,103070,-8.010822256
Mauritius,2020,38.77,203,1.227154047
Mayotte,2020,13.89,37,-1.768033946
Mexico,2020,65692.08,194395,-0.963095486
Micronesia (Federated States of),2020,64.42,70,0.233390384
Monaco,2020,0,0,0
Mongolia,2020,14172.78,155356,-0.039144243
Montenegro,2020,827,1345,0
Montserrat,2020,2.5,10,0
Morocco,2020,5742.49,44630,1.016766086
Mozambique,2020,36743.76,78638,-3.152978387
Myanmar,2020,28543.89,65308,-4.829717089
Namibia,2020,6638.9,82329,-5.07653043
Nauru,2020,0,2,0
Nepal,2020,5962.03,14335,0
Netherlands,2020,369.5,3369,1.280048242
New Caledonia,2020,838.02,1828,-0.05962887
New Zealand,2020,9892.59,26331,0.466962741
Nicaragua,2020,3407.53,12034,-12.79580707
Niger,2020,1079.7,126670,-5.438780872
Nigeria,2020,21626.95,91077,-3.638032477
Niue,2020,18.87,26,0.265674814
Norfolk Island,2020,0.49,4,0
North Macedonia,2020,1001.49,2522,0.712992759
Northern Mariana Islands,2020,24.36,46,-17.39572737
Norway,2020,12180,30413,0.321225599
Oman,2020,2.5,30950,-16.66666667
Pakistan,2020,3725.9,77088,-5.25606469
Palau,2020,41.41,46,1.024640156
Panama,2020,4213.84,7434,-1.336249183
Papua New Guinea,2020,35855.76,45286,-0.468182416
Paraguay,2020,16102.26,39730,-7.981512023
Peru,2020,72330.37,128000,-1.180634673
Philippines,2020,7188.59,29817,2.486972762
Pitcairn,2020,3.5,5,0
Poland,2020,9483,30619,0.668789809
Portugal,2020,3312,9161,0
Puerto Rico,2020,496.33,887,0.49607192
Qatar,2020,0,1161,0
Republic of Korea,2020,6287,9744.5,-0.789016885
Republic of Moldova,2020,386.5,3288,0.025879917
Réunion,2020,98.44,251,2.498958767
Romania,2020,6929.05,23008,0.407044817
Russian Federation,2020,815311.6,1637687,0.046769635
Rwanda,2020,276,2467,2.222222222
Saint Barthélemy,2020,0.17,2,0
Saint Helena,2020,2,39,0
Saint Kitts and Nevis,2020,11,26,0
Saint Lucia,2020,20.77,61,0
Saint Martin (French Part),2020,1.24,5,0
Saint Pierre and Miquelon,2020,1.22,23,-8.270676692
Saint Vincent and the Grenadines,2020,28.54,39,0
Samoa,2020,161.67,283,-1.462790272
San Marino,2020,1,6,0
Sao Tome and Principe,2020,51.9,96,-5.636363636
Saudi Arabia,2020,977,214969,0
Senegal,2020,8068.16,19253,-2.418917873
Serbia,2020,2722.65,8746,0.114725706
Seychelles,2020,33.7,46,0
Sierra Leone,2020,2534.88,7218,-3.745922773
Singapore,2020,15.57,71,-5.464480874
Sint Maarten (Dutch part),2020,0.37,3.4,0
Slovakia,2020,1925.9,4808,0.215949005
Slovenia,2020,1237.83,2014,-0.814903846
Solomon Islands,2020,2522.97,2799,-0.144461771
Somalia,2020,5980,62734,-6.03024946
South Africa,2020,17050.09,121309,-1.056169043
South Sudan,2020,7157,63173,0
Spain,2020,18572.17,49966.1,0.113146441
Sri Lanka,2020,2113.02,6271,-0.742195207
State of Palestine,2020,10.14,602,0
Sudan,2020,18359.55,186665,-4.426773028
Suriname,2020,15196.29,15600,-0.363107778
Svalbard and Jan Mayen Islands,2020,0,6100,0
Sweden,2020,27980,40731,0
Switzerland,2020,1269.11,3952,1.37390068
Syrian Arab Republic,2020,522.08,18363,0
Tajikistan,2020,423.8,13879,0.474158369
Thailand,2020,19873,51089,-0.937141718
Timor-Leste,2020,921.1,1487,-0.75422907
Togo,2020,1209.27,5439,-1.20908118
Tokelau,2020,0,1,0
Tonga,2020,8.95,72,0
Trinidad and Tobago,2020,228.19,513,-0.911893699
Tunisia,2020,702.73,15536,1.100592738
Turkey,2020,22220.36,76963,2.727932576
Turkmenistan,2020,4127,46993,0
Turks and Caicos Islands,2020,10.52,95,0
Tuvalu,2020,1,3,0
Uganda,2020,2337.9,20052,-8.107194516
Ukraine,2020,9690,57929,0.341721031
United Arab Emirates,2020,317.3,7102,0
United Kingdom of Great Britain and Northern Ireland,2020,3190,24193,1.109350238
United Republic of Tanzania,2020,45745,88580,-4.876273654
United States of America,2020,309795,914742,-0.096744546
United States Virgin Islands,2020,19.91,35,3.91440501
Uruguay,2020,2031,17502,5.78125
Uzbekistan,2020,3689.66,42540,3.951653801
Vanuatu,2020,442.3,1219,0
Venezuela (Bolivarian Republic of),2020,46230.9,88205,-0.968446758
Viet Nam,2020,14643.09,31007,4.133379226
Wallis and Futuna Islands,2020,5.83,14,0
Western Sahara,2020,665.07,26600,0.055664209
Yemen,2020,549,52797,0
Zambia,2020,44814.03,74339,-2.056754329
Zimbabwe,2020,17444.58,38685,-1.303258344
